Name,District,Type,Description
WASKOM ISD,102903,G,NON-METROPOLITAN STABLE
WATER VALLEY ISD,226905,H,RURAL
WAXAHACHIE FAITH FAMILY ACADEMY,070801,I,CHARTER SCHOOL DISTRICTS
WAXAHACHIE ISD,070912,C,OTHER CENTRAL CITY
WAYSIDE SCHOOLS,227803,I,CHARTER SCHOOL DISTRICTS
WEATHERFORD ISD,184903,C,OTHER CENTRAL CITY
WEBB CISD,240904,H,RURAL
WEIMAR ISD,045905,H,RURAL
WELLINGTON ISD,044902,H,RURAL
WELLMAN-UNION CISD,223904,H,RURAL
WELLS ISD,037909,H,RURAL
WESLACO ISD,108913,D,OTHER CENTRAL CITY SUBURBAN
WEST HARDIN COUNTY CISD,100908,H,RURAL
WEST ISD,161916,G,NON-METROPOLITAN STABLE
WEST ORANGE-COVE CISD,181906,G,NON-METROPOLITAN STABLE
WEST OSO ISD,178915,D,OTHER CENTRAL CITY SUBURBAN
WEST RUSK COUNTY CONSOLIDATED ISD,201914,F,NON-METROPOLITAN FAST GROWING
WEST SABINE ISD,202905,H,RURAL
WESTBROOK ISD,168903,H,RURAL
WESTHOFF ISD,062905,H,RURAL
